version,n_words,training_size_percent,lambda,fold,training_documents,vocabulary_size,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,TCR
stop,all,50,1,1,1299,35979,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9896193771626297,16.0
stop,all,50,9,1,1299,35979,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995489400090212,4.8
stop,all,50,99,1,1299,35979,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995817124691513,0.48
stop,all,50,1,2,1299,35610,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9930795847750865,24.0
stop,all,50,9,2,1299,35610,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9918809201623816,2.6666666666666665
stop,all,50,99,2,1299,35610,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9917179068891956,0.24242424242424243
stop,all,50,1,3,1299,35571,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9930795847750865,24.0
stop,all,50,9,3,1299,35571,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9918809201623816,2.6666666666666665
stop,all,50,99,3,1299,35571,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9916760781361108,0.24120603015075376
stop,all,50,1,4,1299,34462,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9896193771626297,16.0
stop,all,50,9,4,1299,34462,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9914298601714028,2.526315789473684
